x;y;radius;error
1956;2039;1841;142.83213424682617
1951;2041;1848;212.86380489667258
1957;2040;1846;176.73644067843756
1957;2041;1847;192.2999865412712
1954;2041;1847;186.50553296009699
1952;2036;1848;138.1311962803205
1952;2034;1844;166.62587094306946
1953;2037;1846;127.55216298500697
1954;2040;1849;176.77704211076102
1959;2038;1846;188.696827908357
1956;2039;1848;160.38145633538565
1951;2037;1847;151.60120034217834
1959;2034;1841;211.53626147905985
1959;2040;1849;213.8563188314438
1957;2034;1846;178.6154497464498
1959;2040;1848;211.08337652683258
1953;2041;1843;189.56947374343872
1955;2041;1842;181.6571473479271
1956;2036;1843;137.52228573958078
1956;2033;1844;182.06349148352942
1954;2038;1847;137.00332248210907
1954;2035;1843;147.76373742024103
1956;2039;1845;148.52656686306
1953;2033;1847;173.63895650704703
1956;2035;1848;147.43971079587936
1957;2039;1845;158.298843840758
1958;2039;1846;178.06266208489737
1957;2033;1841;190.1937840382258
1957;2038;1846;146.89341759681702
1954;2037;1841;146.02588417132696
1952;2038;1843;156.05668179194132
1959;2037;1848;190.52279380957285
1959;2034;1846;212.59278684854507
1959;2036;1846;189.91122110684714
1957;2037;1841;146.91305408875147
1954;2038;1843;133.18361181020737
1958;2035;1842;183.3190357685089
1953;2035;1842;157.78275283177695
1956;2037;1848;132.30726967255274
1959;2039;1847;200.0887616276741
1952;2036;1843;154.92530554533005
1955;2040;1843;162.82365973790488
1951;2036;1847;148.13304775953293
1958;2041;1842;200.5203551252683
1953;2040;1849;182.29124695062637
1953;2041;1845;189.7662048737208
1956;2035;1843;152.2184724609057
1959;2036;1845;189.62948791186014
1959;2035;1841;202.48453517754874
1955;2035;1843;146.92781180143356
1953;2036;1846;127.46595793962479
1951;2033;1846;188.51392273108164
1959;2033;1842;221.93455455700555
1952;2041;1846;197.9862986008326
1957;2034;1844;178.91972998778024
1955;2034;1841;161.90176671743393
1956;2040;1846;169.29477792978287
1958;2038;1844;161.39887231588364
1956;2034;1841;166.69227335850397
1954;2039;1845;148.16856787602106
1956;2039;1842;142.11284317572913
1955;2039;1842;142.30948917071024
1954;2040;1845;167.30150286356607
1953;2034;1842;165.77218198776245
1954;2038;1846;132.7143283089002
1951;2041;1843;207.1726605296135
1958;2037;1849;172.23017742236456
1954;2033;1846;172.04777644077936
1958;2040;1845;187.94478782018027
1959;2035;1847;200.84687169392905
